,name,longitude,latitude
639,会展中心公交站,117.734062,39.030197
640,会议中心,117.695236,39.029610
641,估衣街,117.181076,39.147484
642,低碳产业基地,117.351425,39.167107
643,低碳实践基地,117.027809,39.404068
644,住重机械,111.364563,30.798937
645,体北站(体院北公交站),117.188339,39.080982
646,体北道,117.186089,39.076580
647,体育中心北,117.175522,39.079369
648,体育中心站(体育中心公交站),117.175522,39.079369
649,体育学院,117.183197,39.074165
650,体育学院东门,117.190254,39.077255
651,体育宾馆,117.182518,39.077435
652,体育馆,117.195518,39.108196
653,体育馆[中心路],117.650642,39.018177
654,体育馆[宁波道],117.649307,39.018017
655,体院北,117.188339,39.080982
656,何兴庄,117.242165,39.181477
657,何兴庄公交站,117.244896,39.173737
658,何兴庄外环小区(河兴庄外环小区),117.242893,39.181828
659,何兴村,117.187836,39.110573
660,何庄子花市,117.309906,39.062218
661,佛罗伦萨小镇,117.015396,39.373680
662,佛罗伦萨小镇北门,117.019287,39.379128
663,佟楼,117.193927,39.100120
664,佟楼公交站,117.191414,39.100491
665,佳和康庭,117.263550,38.995258
666,佳和雅庭,117.258400,38.995148
667,佳园北里,117.128853,39.195671
668,佳园南里,117.129333,39.190643
669,佳园新里,117.121475,39.193726
670,佳园里,117.126877,39.193748
671,佳宁道,117.135117,39.195148
672,佳宁里,117.123650,39.197956
673,佳庆道,117.137917,39.191277
674,佳荣商场,116.94484,38.933132
675,佳音里,117.172966,39.117832
676,侯台公交站,117.091822,39.105136
677,侯台村,117.117188,39.098526
678,侯台花园,117.116409,39.102112
679,侯家营公交站,117.255852,39.856098
680,侯家营镇,117.255875,39.856052
681,侯家营镇政府,117.255875,39.856052
682,侯庄子村,117.247292,39.936890
683,保利天汇,117.812114,39.338536
684,保利海棠湾,117.039398,39.391220
685,保安大街,117.184303,39.126427
686,保定道,117.210030,39.122032
687,保泽道,117.131912,39.103638
688,保盈里,117.138443,39.105988
689,保税仓,117.208862,39.018417
690,保税区公交站,117.753181,39.005375
691,保税区管委会,117.757385,39.008942
692,保税路,117.370506,39.157070
693,信义玻璃,117.045105,39.388988
694,信义玻璃[新开路],116.995468,39.431797
695,信友道,117.256607,39.204185
696,信德里,117.264374,39.206039
697,信息工程学校,117.384125,40.039639
698,信置商业,117.022118,39.371113
699,俭字沽,117.625610,39.638035
700,俱乐部,117.064445,39.197552
701,俵口中学,117.591492,39.335838
702,俵口乡政府,117.575301,39.330439
703,倚岸村,117.784966,39.509014
704,倚虹东里,117.282837,39.140366
705,倪黄庄,117.225609,39.028366
706,假日风景,117.079582,39.125282
707,健康产业园,117.056656,38.959217
708,健康产业园公交总站(天津健康产业园公交站),117.085643,38.971125
709,健康产业园太湖路,117.087120,38.974907
710,健身公园,117.297737,39.714249
711,健身园,116.899025,39.032986
712,傅庄村委会,117.949738,39.267384
713,傅村,117.121559,39.047241
714,傅村中学,117.114349,39.045444
715,傑麦,117.055809,39.405849
716,儿童世界,117.709167,38.989208
717,儿童医院,117.200676,39.099243
718,儿童村,117.255287,39.129620
719,儿童药业,117.473625,38.819019
720,元吉里,117.193504,39.155769
721,元山里,117.265137,39.059052
722,元纬路,117.190033,39.157310
723,先春园,117.170952,39.147930
724,先登里,117.267982,39.070457
725,先锋村,117.279510,39.042374
726,先锋路,117.307671,39.085777
727,先锋里,117.318909,39.083530
728,光华桥,117.236565,39.096722
729,光华里,117.218643,39.084747
730,光明村,117.382919,38.916664
731,光明楼,117.381104,38.986614
732,光明道口(杨村第一中学),117.004288,39.402542
733,光荣道,117.166771,39.171207
734,光辉集团,117.352448,39.245178
735,全和园,117.109680,39.157066
736,全红桥,117.376694,38.988979
737,八一礼堂,117.193886,39.127716
