complete 3250,cost 6049.999524593353s.
complete 3260,cost 6068.73956823349s.
complete 3270,cost 6087.602470159531s.
complete 3280,cost 6106.337376832962s.
complete 3290,cost 6125.118259906769s.
complete 3300,cost 6144.033499002457s.
complete 3310,cost 6162.812792778015s.
complete 3320,cost 6181.582095146179s.
complete 3330,cost 6200.455867767334s.
complete 3340,cost 6219.194768190384s.
complete 3350,cost 6237.9542055130005s.
complete 3360,cost 6256.698767185211s.
complete 3370,cost 6275.5128564834595s.
complete 3380,cost 6294.380921125412s.
complete 3390,cost 6313.197192668915s.
complete 3400,cost 6331.991591453552s.
complete 3410,cost 6350.709991693497s.
complete 3420,cost 6369.404323816299s.
complete 3430,cost 6388.184385299683s.
complete 3440,cost 6407.007647037506s.
complete 3450,cost 6425.7686586380005s.
complete 3460,cost 6444.6103501319885s.
complete 3470,cost 6463.363497257233s.
complete 3480,cost 6482.068042755127s.
complete 3490,cost 6500.794179916382s.
complete 3500,cost 6519.549529075623s.
complete 3510,cost 6538.386100769043s.
complete 3520,cost 6557.183881282806s.
complete 3530,cost 6575.980900764465s.
complete 3540,cost 6594.734392881393s.
complete 3550,cost 6613.4476590156555s.
complete 3560,cost 6632.215385437012s.
complete 3570,cost 6651.023176193237s.
complete 3580,cost 6669.807257890701s.
complete 3590,cost 6688.670707702637s.
complete 3600,cost 6707.426692008972s.
complete 3610,cost 6726.1621966362s.
complete 3620,cost 6744.865432500839s.
complete 3630,cost 6763.677885055542s.
complete 3640,cost 6782.47078037262s.
complete 3650,cost 6801.25248169899s.
complete 3660,cost 6820.071188211441s.
complete 3670,cost 6838.808062314987s.
complete 3680,cost 6857.4763514995575s.
complete 3690,cost 6876.254045963287s.
complete 3700,cost 6895.078003406525s.
complete 3710,cost 6913.902420759201s.
complete 3720,cost 6932.7143404483795s.
complete 3730,cost 6951.516010522842s.
complete 3740,cost 6970.287340641022s.
complete 3750,cost 6988.998348712921s.
complete 3760,cost 7007.81734585762s.
complete 3770,cost 7026.622253894806s.
complete 3780,cost 7045.434659957886s.
complete 3790,cost 7064.241130828857s.
complete 3800,cost 7083.046597242355s.
complete 3810,cost 7101.765522956848s.
complete 3820,cost 7120.47572350502s.
complete 3830,cost 7139.311541080475s.
complete 3840,cost 7158.223953485489s.
complete 3850,cost 7177.03421998024s.
complete 3860,cost 7195.812313556671s.
complete 3870,cost 7214.613898515701s.
complete 3880,cost 7233.3165447711945s.
complete 3890,cost 7252.089754343033s.
complete 3900,cost 7270.866634845734s.
complete 3910,cost 7289.746210098267s.
complete 3920,cost 7308.564652442932s.
complete 3930,cost 7327.392192840576s.
complete 3940,cost 7346.084223747253s.
complete 3950,cost 7364.757212162018s.
complete 3960,cost 7383.587734937668s.
complete 3970,cost 7402.364779472351s.
complete 3980,cost 7421.120525836945s.
complete 3990,cost 7439.911391496658s.
complete 4000,cost 7458.730666399002s.
complete 4010,cost 7477.401730775833s.
complete 4020,cost 7496.135908842087s.
complete 4030,cost 7514.941567897797s.
complete 4040,cost 7533.783430814743s.
complete 4050,cost 7552.5990970134735s.
complete 4060,cost 7571.388607501984s.
complete 4070,cost 7590.124030828476s.
complete 4080,cost 7608.832547664642s.
complete 4090,cost 7627.61128950119s.
complete 4100,cost 7646.392165660858s.
complete 4110,cost 7665.255546808243s.
complete 4120,cost 7684.112868785858s.
complete 4130,cost 7702.936480998993s.
complete 4140,cost 7721.650594472885s.
complete 4150,cost 7740.327059745789s.
complete 4160,cost 7759.1799557209015s.
complete 4170,cost 7777.958203554153s.
complete 4180,cost 7796.800151109695s.
complete 4190,cost 7815.61193728447s.
complete 4200,cost 7834.446317911148s.
complete 4210,cost 7853.145772695541s.
complete 4220,cost 7871.915722846985s.
complete 4230,cost 7890.686001062393s.
complete 4240,cost 7909.498427629471s.
complete 4250,cost 7928.269791841507s.
complete 4260,cost 7947.097528219223s.
complete 4270,cost 7965.808702945709s.
complete 4280,cost 7984.498890161514s.
complete 4290,cost 8003.358714103699s.
complete 4300,cost 8022.104149103165s.
complete 4310,cost 8040.925168514252s.
complete 4320,cost 8059.699967384338s.
complete 4330,cost 8078.549604177475s.
complete 4340,cost 8097.2485427856445s.
complete 4350,cost 8116.024183988571s.
complete 4360,cost 8134.857059955597s.
complete 4370,cost 8153.644898891449s.
complete 4380,cost 8172.4136798381805s.
complete 4390,cost 8191.213847160339s.
complete 4400,cost 8209.992783546448s.
complete 4410,cost 8228.72366476059s.
complete 4420,cost 8247.567346096039s.
complete 4430,cost 8266.35348534584s.
complete 4440,cost 8285.147089004517s.
complete 4450,cost 8303.897052288055s.
complete 4460,cost 8322.788455486298s.
complete 4470,cost 8341.506675481796s.
complete 4480,cost 8360.223266839981s.
complete 4490,cost 8378.999555587769s.
complete 4500,cost 8397.759255170822s.
complete 4510,cost 8416.592496156693s.
complete 4520,cost 8435.384860754013s.
complete 4530,cost 8454.162300348282s.
complete 4540,cost 8472.874717712402s.
complete 4550,cost 8491.640540599823s.
complete 4560,cost 8510.50893330574s.
complete 4570,cost 8529.272558450699s.
complete 4580,cost 8548.033121824265s.
complete 4590,cost 8566.904770851135s.
complete 4600,cost 8585.638064146042s.
complete 4610,cost 8604.33074259758s.
complete 4620,cost 8623.146347999573s.
complete 4630,cost 8641.966727256775s.
complete 4640,cost 8660.706707000732s.
complete 4650,cost 8679.513407468796s.
complete 4660,cost 8698.37605881691s.
complete 4670,cost 8717.110183477402s.
complete 4680,cost 8735.873297691345s.
complete 4690,cost 8754.746124505997s.
complete 4700,cost 8773.533395767212s.
complete 4710,cost 8792.2470703125s.
complete 4720,cost 8811.099778175354s.
complete 4730,cost 8829.878876924515s.
complete 4740,cost 8848.602220535278s.
complete 4750,cost 8867.43756723404s.
complete 4760,cost 8886.269739627838s.
complete 4770,cost 8904.990063667297s.
complete 4780,cost 8923.76329779625s.
complete 4790,cost 8942.66866183281s.
complete 4800,cost 8961.394831180573s.
complete 4810,cost 8980.109410524368s.
complete 4820,cost 8998.975694179535s.
complete 4830,cost 9017.740409612656s.
complete 4840,cost 9036.498420476913s.
complete 4850,cost 9055.388580322266s.
complete 4860,cost 9074.190784692764s.
complete 4870,cost 9092.886769771576s.
complete 4880,cost 9111.628556251526s.
complete 4890,cost 9130.48849773407s.
complete 4900,cost 9149.258005142212s.
complete 4910,cost 9168.05430841446s.
complete 4920,cost 9186.910631418228s.
complete 4930,cost 9205.69799208641s.
complete 4940,cost 9224.437347650528s.
complete 4950,cost 9243.258345127106s.
complete 4960,cost 9262.124698162079s.
complete 4970,cost 9280.911054611206s.
complete 4980,cost 9299.704898118973s.
complete 4990,cost 9318.533747673035s.
complete 5000,cost 9337.217564821243s.
complete 5010,cost 9355.935418128967s.
complete 5020,cost 9374.84106707573s.
complete 5030,cost 9393.682618618011s.
complete 5040,cost 9412.41999745369s.
complete 5050,cost 9431.353372335434s.
complete 5060,cost 9450.14716219902s.
complete 5070,cost 9468.84035539627s.
complete 5080,cost 9487.658741950989s.
complete 5090,cost 9506.541875362396s.
complete 5100,cost 9525.335414171219s.
complete 5110,cost 9544.143399715424s.
complete 5120,cost 9562.993928194046s.
complete 5130,cost 9581.704021692276s.
complete 5140,cost 9600.380946874619s.
complete 5150,cost 9619.25088763237s.
complete 5160,cost 9638.066370487213s.
complete 5170,cost 9656.801635503769s.
complete 5180,cost 9675.66551399231s.
complete 5190,cost 9694.492167711258s.
complete 5200,cost 9713.188090801239s.
complete 5210,cost 9731.956099510193s.
complete 5220,cost 9750.822860717773s.
complete 5230,cost 9769.622188806534s.
complete 5240,cost 9788.407186508179s.
complete 5250,cost 9807.263673782349s.
complete 5260,cost 9826.031807899475s.
complete 5270,cost 9844.748269557953s.
complete 5280,cost 9863.563045501709s.
complete 5290,cost 9882.48833990097s.
complete 5300,cost 9901.29162144661s.
complete 5310,cost 9920.156646251678s.
complete 5320,cost 9938.938906908035s.
complete 5330,cost 9957.648052215576s.
complete 5340,cost 9976.365706682205s.
complete 5350,cost 9995.135711431503s.
complete 5360,cost 10014.042036533356s.
complete 5370,cost 10032.906153202057s.
complete 5380,cost 10051.68079161644s.
complete 5390,cost 10070.45454621315s.
complete 5400,cost 10089.220928430557s.
complete 5410,cost 10108.009317874908s.
complete 5420,cost 10126.853882551193s.
complete 5430,cost 10145.702617168427s.
complete 5440,cost 10164.615694522858s.
complete 5450,cost 10183.438830137253s.
complete 5460,cost 10202.18621134758s.
complete 5470,cost 10220.88037276268s.
complete 5480,cost 10239.680198669434s.
complete 5490,cost 10258.610514640808s.
complete 5500,cost 10277.432013988495s.
complete 5510,cost 10296.262316703796s.
complete 5520,cost 10315.0341527462s.
complete 5530,cost 10333.746669769287s.
complete 5540,cost 10352.546092510223s.
complete 5550,cost 10371.361653327942s.
complete 5560,cost 10390.187885761261s.
complete 5570,cost 10409.063063621521s.
complete 5580,cost 10427.866799592972s.
complete 5590,cost 10446.63883972168s.
complete 5600,cost 10465.316650152206s.
complete 5610,cost 10484.118938684464s.
complete 5620,cost 10502.968488931656s.
complete 5630,cost 10521.760052919388s.
complete 5640,cost 10540.643751621246s.
complete 5650,cost 10559.423030853271s.
complete 5660,cost 10578.132781744003s.
complete 5670,cost 10596.859708070755s.
complete 5680,cost 10615.681375265121s.
complete 5690,cost 10634.531875371933s.
complete 5700,cost 10653.35019659996s.
complete 5710,cost 10672.155912160873s.
complete 5720,cost 10690.943814516068s.
complete 5730,cost 10709.596022367477s.
complete 5740,cost 10728.401986837387s.
complete 5750,cost 10747.208353996277s.
complete 5760,cost 10766.007336854935s.
complete 5770,cost 10784.80143737793s.
complete 5780,cost 10803.604964733124s.
complete 5790,cost 10822.331365346909s.
complete 5800,cost 10841.01408791542s.
complete 5810,cost 10859.90367603302s.
complete 5820,cost 10878.759010791779s.
complete 5830,cost 10897.547143936157s.
complete 5840,cost 10916.351978302002s.
complete 5850,cost 10935.151814222336s.
complete 5860,cost 10953.839781999588s.
complete 5870,cost 10972.578307151794s.
complete 5880,cost 10991.382331609726s.
complete 5890,cost 11010.18157529831s.
complete 5900,cost 11028.990434646606s.
complete 5910,cost 11047.770906925201s.
complete 5920,cost 11066.529731988907s.
complete 5930,cost 11085.219713687897s.
complete 5940,cost 11104.041282653809s.
complete 5950,cost 11122.888469696045s.
complete 5960,cost 11141.692735671997s.
complete 5970,cost 11160.493277549744s.
complete 5980,cost 11179.335308790207s.
complete 5990,cost 11198.051195144653s.
complete 6000,cost 11216.834686517715s.
complete 6010,cost 11235.686998605728s.
complete 6020,cost 11254.51352596283s.
complete 6030,cost 11273.380133152008s.
complete 6040,cost 11292.213354825974s.
complete 6050,cost 11310.954713821411s.
complete 6060,cost 11329.673758506775s.
complete 6070,cost 11348.454267978668s.
complete 6080,cost 11367.321590185165s.
complete 6090,cost 11386.147460460663s.
complete 6100,cost 11404.973419904709s.
complete 6110,cost 11423.811865568161s.
complete 6120,cost 11442.510794401169s.
complete 6130,cost 11461.217557430267s.
complete 6140,cost 11480.132738828659s.
complete 6150,cost 11498.943788766861s.
complete 6160,cost 11517.723388195038s.
complete 6170,cost 11536.487156629562s.
complete 6180,cost 11555.29610323906s.
complete 6190,cost 11574.0031311512s.
complete 6200,cost 11592.73297739029s.
complete 6210,cost 11611.606771469116s.
complete 6220,cost 11630.389570236206s.
complete 6230,cost 11649.141186714172s.
complete 6240,cost 11668.05458688736s.
complete 6250,cost 11686.773709774017s.
complete 6260,cost 11705.450150489807s.
complete 6270,cost 11724.282766819s.
complete 6280,cost 11743.089941740036s.
complete 6290,cost 11761.82551407814s.
complete 6300,cost 11780.627444028854s.
complete 6310,cost 11799.446688890457s.
complete 6320,cost 11818.197553157806s.
complete 6330,cost 11836.948305130005s.
complete 6340,cost 11855.817817687988s.
complete 6350,cost 11874.623108148575s.
complete 6360,cost 11893.348168611526s.
complete 6370,cost 11912.26974105835s.
complete 6380,cost 11931.037974834442s.
complete 6390,cost 11949.73046374321s.
complete 6400,cost 11968.547522306442s.
complete 6410,cost 11987.384489774704s.
complete 6420,cost 12006.147201538086s.
complete 6430,cost 12024.892876625061s.
complete 6440,cost 12043.754318237305s.
complete 6450,cost 12062.51074719429s.
complete 6460,cost 12081.195225000381s.
complete 6470,cost 12100.08084154129s.
complete 6480,cost 12118.879040956497s.
complete 6490,cost 12137.640580177307s.
complete 6500,cost 12156.491325378418s.
complete 6510,cost 12175.305141925812s.
complete 6520,cost 12194.040986299515s.
complete 6530,cost 12212.809653759003s.
complete 6540,cost 12231.75811123848s.
complete 6550,cost 12250.519791841507s.
complete 6560,cost 12269.281283855438s.
complete 6570,cost 12288.172086238861s.
complete 6580,cost 12306.92192363739s.
complete 6590,cost 12325.638447999954s.
complete 6600,cost 12344.486433267593s.
complete 6610,cost 12363.36962389946s.
complete 6620,cost 12382.113452196121s.
complete 6630,cost 12400.978828907013s.
complete 6640,cost 12419.781680345535s.
complete 6650,cost 12438.467324972153s.
complete 6660,cost 12457.182375192642s.
complete 6670,cost 12476.06496810913s.
complete 6680,cost 12494.824922561646s.
complete 6690,cost 12513.590278148651s.
complete 6700,cost 12532.488540887833s.
complete 6710,cost 12551.242236852646s.
complete 6720,cost 12569.9551820755s.
complete 6730,cost 12588.752350330353s.
complete 6740,cost 12607.626566648483s.
complete 6750,cost 12626.338756799698s.
complete 6760,cost 12645.124178409576s.
complete 6770,cost 12664.028788089752s.
complete 6780,cost 12682.74502658844s.
complete 6790,cost 12701.46570611s.
complete 6800,cost 12720.339012861252s.
complete 6810,cost 12739.17529797554s.
complete 6820,cost 12757.910765886307s.
complete 6830,cost 12776.78415441513s.
complete 6840,cost 12795.56800699234s.
complete 6850,cost 12814.2788438797s.
complete 6860,cost 12832.975487470627s.
complete 6870,cost 12851.844976186752s.
complete 6880,cost 12870.628761291504s.
complete 6890,cost 12889.515193939209s.
complete 6900,cost 12908.305777788162s.
complete 6910,cost 12927.021859169006s.
complete 6920,cost 12945.70976471901s.
complete 6930,cost 12964.470467329025s.
complete 6940,cost 12983.297635555267s.
complete 6950,cost 13002.088013410568s.
complete 6960,cost 13020.97303390503s.
complete 6970,cost 13039.750452756882s.
complete 6980,cost 13058.42428779602s.
complete 6990,cost 13077.129929542542s.
complete 7000,cost 13095.915457248688s.
complete 7010,cost 13114.790784835815s.
complete 7020,cost 13133.605292320251s.
complete 7030,cost 13152.374527454376s.
complete 7040,cost 13171.173019886017s.
complete 7050,cost 13189.861998558044s.
complete 7060,cost 13208.670876979828s.
complete 7070,cost 13227.53103017807s.
complete 7080,cost 13246.357724189758s.
complete 7090,cost 13265.249718427658s.
complete 7100,cost 13284.073668718338s.
complete 7110,cost 13302.784710168839s.
complete 7120,cost 13321.474633693695s.
complete 7130,cost 13340.3309237957s.
complete 7140,cost 13359.245942354202s.
complete 7150,cost 13378.098312139511s.
complete 7160,cost 13396.911625623703s.
complete 7170,cost 13415.686796665192s.
complete 7180,cost 13434.408501148224s.
complete 7190,cost 13453.178626537323s.
complete 7200,cost 13471.99293422699s.
complete 7210,cost 13490.822067022324s.
complete 7220,cost 13509.652768611908s.
complete 7230,cost 13528.523244857788s.
complete 7240,cost 13547.315469741821s.
complete 7250,cost 13566.03403377533s.
complete 7260,cost 13584.789653301239s.
complete 7270,cost 13603.70147562027s.
complete 7280,cost 13622.530802249908s.
complete 7290,cost 13641.367110967636s.
complete 7300,cost 13660.239671230316s.
complete 7310,cost 13678.98389172554s.
complete 7320,cost 13697.713377952576s.
complete 7330,cost 13716.520764112473s.
complete 7340,cost 13735.413525104523s.
complete 7350,cost 13754.291529655457s.
